Security Code,Issuer Name,Security Id,Tickers
521180,Super Spinning Mills Ltd.,SUPERSPIN,521180.BO
521194,SIL Investments Ltd,SILINV,521194.BO
521200,Suryalakshmi Cotton Mills Ltd.,SURYALAXMI,521200.BO
521206,Samtex Fashions Ltd.,SAMTEX,521206.BO
521210,Cityman Limited,CITYMAN,521210.BO
521216,Dhanalaxmi Roto Spinners Ltd.,DHANROTO,521216.BO
521220,Damodar Industries Limited,DAMODARIND,521220.BO
521222,Sanblue Corporation Limited,SANBLUE,521222.BO
521226,Uniroyal Industries Ltd,UNIROYAL,521226.BO
521228,Tatia Global Vennture Limited,TATIAGLOB,521228.BO
521232,Sunil Industries Ltd.,SUNILTX,521232.BO
521234,Sri Nachammai Cotton Mills Ltd.,SRINACHA,521234.BO
521238,KKRRAFTON Developers Limited,KDL,521238.BO
521240,Sambandam Spinning Mills Ltd.,SAMBANDAM,521240.BO
521242,Kandagiri Spinning Mills Ltd.,KANDAGIRI,521242.BO
521244,MKP Mobility Limited,MKPMOB,521244.BO
521246,Paras Petrofils Ltd.,PARASPETRO,521246.BO
521248,Kitex Garmenets Ltd.,KITEX,521248.BO
522001,Cranex Ltd.,CRANEX,522001.BO
522004,Batliboi Ltd,BATLIBOI,522004.BO
522005,Austin Engineering Co. Ltd.,AUSTENG,522005.BO
522014,United Drilling Tools Ltd.,UNIDT,522014.BO
522017,Fluidomat Ltd.,FLUIDOM,522017.BO
522027,Ema India Ltd.,EMAINDIA,522027.BO
522029,Windsor Machines Limited,WINDMACHIN,522029.BO
522034,Shanthi Gears Ltd.,SHANTIGEAR,522034.BO
522036,Miven Machine Tools Ltd.,MIVENMACH,522036.BO
522064,HONDA INDIA POWER PRODUCTS LIMITED,HONDAPOWER,522064.BO
522073,The Hi-Tech Gears Limited,HITECHGEAR,522073.BO
522074,Elgi Equipments Ltd.,ELGIEQUIP,522074.BO
522091,United Van Der Horst Ltd.,UVDRHOR,522091.BO
522101,Kilburn Engineering Ltd,KLBRENG-B,522101.BO
522105,Birla Precision Technologies Ltd,BIRLAPREC,522105.BO
522108,Yuken India Ltd.,YUKEN,522108.BO
522113,Timken India Ltd,TIMKEN,522113.BO
522122,Voith Paper Fabrics India Ltd,VOITHPAPR,522122.BO
522152,Solitaire Machine Tools Ltd,SOLIMAC,522152.BO
522163,Diamond Power Infrastructure Limited,DIACABS,522163.BO
522165,Indsil Hydro Power and Manganese Limited,INDSILHYD,522165.BO
522171,TMT (India) ltd.,TMTIND-B1,522171.BO
522183,ITL Industries Ltd.,ITL,522183.BO
522195,Frontier Springs Ltd.,FRONTSP,522195.BO
522205,Praj Industries Ltd.,PRAJIND,522205.BO
522207,Rasandik Engg. Industries India Ltd,RASANDIK,522207.BO
522209,Yogi Sung-won (India) Ltd.,YOGISUNG,522209.BO
522215,HLE GLASCOAT LIMITED,HLEGLAS,522215.BO
522217,Gujarat Apollo Industries Ltd.,GUJAPOLLO,522217.BO
522229,Taneja Aerospace & Aviation Ltd.,TANAA,522229.BO
522231,Conart Engineers Ltd.,CONART,522231.BO
522235,Minal Industries Limited,MINALIND,522235.BO
522237,Shivagrico Implements Ltd.,SHIVAGR,522237.BO
522241,M.M.Forgings Ltd.,MMFL,522241.BO
522249,Mayur Uniquoters ltd.,MAYURUNIQ,522249.BO
522251,Cenlub Industries Ltd.,CENLUB,522251.BO
522257,Rajoo Engineers Ltd.,RAJOOENG,522257.BO
522261,Dolphin Offshore Enterprises (India) ltd.,DOLPHIN,522261.BO
522267,Veejay Lakshmi Engineering Works Lt,VJLAXMIE,522267.BO
522273,Ahmedabad Steelcraft Ltd.,AHMDSTE,522273.BO
522275,GE T&D India Limited,GET&D,522275.BO
522281,Ram Ratna Wires Ltd.,RAMRAT,522281.BO
522285,Jayaswal Neco Industries Ltd,JAYNECOIND,522285.BO
522287,KALPATARU PROJECTS INTERNATIONAL LIMITED,KPIL,522287.BO
522289,NMS RESOURCES GLOBAL LIMITED,NMSRESRC,522289.BO
522292,CANDOUR TECHTEX LIMITED,CANDOUR,522292.BO
522294,T & I Global Ltd.,TIGLOB,522294.BO
522295,Control Print (India) Ltd.,CONTROLPR,522295.BO
522650,Bemco Hydraulics Ltd.,BEMHY,522650.BO
523007,Ansal Buildwell Ltd.,ANSALBU,523007.BO
523011,Weizmann Limited.,WEIZMANIND,523011.BO
523019,B.N.Rathi Securities Ltd.,BNRSEC,523019.BO
523021,Rishi Techtex Limited,RISHITECH,523021.BO
523023,Sinclairs Hotels  Ltd,SINCLAIR,523023.BO
523025,Safari Industries (India) Ltd.,SAFARI,523025.BO
523054,Binayak Tex Processors  Ltd.,ZBINTXPP,523054.BO
523062,J.J. Finance Corporation Ltd.,JJFINCOR,523062.BO
523100,Cosmo Ferrites Ltd.,COSMOFE,523100.BO
523105,CROPSTER AGRO LIMITED,CROPSTER,523105.BO
523113,Futuristic Securities Ltd,FUTURSEC,523113.BO
523116,Sanco Trans Ltd.,SANCTRN,523116.BO
523120,Ador Multiproducts Ltd,ADORMUL,523120.BO
523127,EIH Associated Hotels Ltd.,EIHAHOTELS,523127.BO
523144,Medi-Caps Ltd.,MEDICAPQ,523144.BO
523151,Otco International Ltd,OTCO,523151.BO
523160,Morganite Crucible (India) Limited,MORGANITE,523160.BO
523186,B&A Packaging India Limited,BAPACK,523186.BO
523204,Aban  Offshore Ltd.,ABAN,523204.BO
523207,Kokuyo Camlin Ltd,KOKUYOCMLN,523207.BO
523222,SRM Energy Limited,SRMENERGY,523222.BO
523229,Bharat Seats Ltd,BHARATSE,523229.BO
523232,Continental Petroleums Ltd.,CONTPTR,523232.BO
523242,N.B. Footwear Ltd.,NBFOOT,523242.BO
523248,Machino Plastics Ltd,MACPLASQ,523248.BO
523260,Pearl Polymers Ltd.,PEARLPOLY,523260.BO
523261,Venky's (India) ltd.,VENKEYS,523261.BO
523269,Advani Hotels & Resorts (India) Ltd.,ADVANIHOTR,523269.BO
523277,G.V. Films  Ltd.,GVFILM,523277.BO
523283,Superhouse limited,SUPERHOUSE,523283.BO
523289,Rama Vision Ltd,RAMAVISION,523289.BO
523301,TCPL Packaging Limited,TCPLPACK,523301.BO
523309,Shri Gang Industries & Allied Products Limited,SHRIGANG,523309.BO
523315,Purity Flex Pack Ltd,PURITY,523315.BO
523319,Balmer Lawrie & Co. Ltd.,BALMLAWRIE,523319.BO
523323,Kovai Medical Center & Hospital Ltd,KOVAI,523323.BO
523329,Eldeco Housing & Ind. Ltd.,ELDEHSG,523329.BO
523343,Microse India Limited,MICROSE,523343.BO
523367,DCM Shriram Limited,DCMSHRIRAM,523367.BO
523369,DCM Shriram Industries Ltd.,DCMSRIND,523369.BO
523371,Mawana Sugars Ltd,MAWANASUG,523371.BO
523373,Mini Diamonds (India) Ltd.,MINID,523373.BO
523384,Maha Rashtra Apex Corporation Ltd,MAHAPEXLTD,523384.BO
523385,Nilkamal Limited,NILKAMAL,523385.BO
523391,Nahar Polyfilms Ltd.,NAHARPOLY,523391.BO
523395,3M India Ltd.,3MINDIA,523395.BO
523398,Johnson Controls-Hitachi Air Conditioning India Ltd.,JCHAC,523398.BO
523405,JM Financial Limited,JMFINANCIL,523405.BO
523411,ADC India Communications Limited,ADCINDIA,523411.BO
523419,Tamilnadu Telecommunications Ltd.,TNTELE,523419.BO
523425,Sunraj Diamond Exports Ltd.,SUNRAJDI,523425.BO
523445,Reliance Industrial Infrastructure,RIIL,523445.BO
523457,Linde India Limited,LINDEINDIA,523457.BO
523465,Ind Bank Housing Ltd,INDBNK,523465.BO
523467,Jai Mata Glass Ltd.,JAIMATAG,523467.BO
523475,Lotus Chocolate Co. Ltd.,LOTUSCHO,523475.BO
523483,Pacific Industries ltd.,PACIFICI,523483.BO
523489,Chennai Meenakshi Multispeciality Hospital Ltd.,CMMHOSP,523489.BO
523519,Universal Office Automation Limited,UNIOFFICE,523519.BO
523537,APM Industries Ltd.,APMIN,523537.BO
523539,Precision Wires India ltd.,PRECWIRE,523539.BO
523550,Krypton Industries Ltd,KRYPTONQ,523550.BO
523558,SWISS MILITARY CONSUMER GOODS LIMITED,SWISSMLTRY,523558.BO
523566,Martin Burn Ltd,MARBU,523566.BO
